Parameter,Category,Value,Unit,Volume_WinRate,Premium_WinRate,Brand_WinRate,Balanced_WinRate,Revenue_Spread,Diversity_Score
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,60,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,32,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,37,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,42,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,47,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,52,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,57,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_PROFESSIONAL,Segment Weights,62,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,35,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,40,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,45,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,50,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,55,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,60,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_BUDGET,Segment Weights,65,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_GENERAL,Segment Weights,20,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_GENERAL,Segment Weights,25,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_GENERAL,Segment Weights,32,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_GENERAL,Segment Weights,38,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_GENERAL,Segment Weights,44,pts,0.0,0.0,100.0,0.0,1.028,0.000
PRICE_WEIGHT_GENERAL,Segment Weights,50,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,10,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,15,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,20,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,25,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,30,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,35,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_GENERAL,Segment Weights,40,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,10,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,15,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,20,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,25,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,30,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,35,pts,0.0,0.0,100.0,0.0,1.028,0.000
FEATURE_WEIGHT_ENTHUSIAST,Segment Weights,40,pts,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.0005,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.001,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.0015,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.002,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.0025,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.003,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_BASE_IMPACT,Advertising,0.004,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,1000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,2000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,3000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,4000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,5000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,7000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_DIMINISH_THRESHOLD,Advertising,10000000,$,0.0,0.0,100.0,0.0,1.028,0.000
AD_EFFECTIVENESS_DECAY,Advertising,0.2,%,0.0,0.0,99.0,1.0,1.028,0.040
AD_EFFECTIVENESS_DECAY,Advertising,0.3,%,0.0,0.0,100.0,0.0,1.028,0.000
AD_EFFECTIVENESS_DECAY,Advertising,0.4,%,0.0,0.0,100.0,0.0,1.028,0.000
AD_EFFECTIVENESS_DECAY,Advertising,0.5,%,0.0,0.0,100.0,0.0,1.028,0.000
AD_EFFECTIVENESS_DECAY,Advertising,0.6,%,0.0,0.0,100.0,0.0,1.028,0.000
AD_EFFECTIVENESS_DECAY,Advertising,0.7,%,0.0,0.0,100.0,0.0,1.028,0.000
AD_EFFECTIVENESS_DECAY,Advertising,0.8,%,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.001,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.0015,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.002,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.0025,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.003,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.004,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_BASE_IMPACT,Branding,0.005,%/$1M,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_LINEAR_THRESHOLD,Branding,2000000,$,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_LINEAR_THRESHOLD,Branding,3000000,$,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_LINEAR_THRESHOLD,Branding,5000000,$,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_LINEAR_THRESHOLD,Branding,7000000,$,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_LINEAR_THRESHOLD,Branding,10000000,$,0.0,0.0,100.0,0.0,1.028,0.000
BRANDING_LINEAR_THRESHOLD,Branding,15000000,$,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_THRESHOLD,ESG,500,pts,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_THRESHOLD,ESG,600,pts,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_THRESHOLD,ESG,700,pts,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_THRESHOLD,ESG,800,pts,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_THRESHOLD,ESG,850,pts,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_THRESHOLD,ESG,900,pts,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_BONUS,ESG,0.02,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_BONUS,ESG,0.03,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_BONUS,ESG,0.05,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_BONUS,ESG,0.07,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_BONUS,ESG,0.1,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_HIGH_BONUS,ESG,0.15,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_MID_BONUS,ESG,0.01,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_MID_BONUS,ESG,0.02,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_MID_BONUS,ESG,0.03,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_MID_BONUS,ESG,0.04,%,0.0,0.0,100.0,0.0,1.028,0.000
ESG_MID_BONUS,ESG,0.05,%,0.0,0.0,100.0,0.0,1.028,0.000
